age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,credit_utilization,loan_to_income
63,Female,Single,Other,16479.54,Retired,0.38,711,16439.66,Car,15.67,60,8,23907.95,13920.69,2,0.5822619672535705,0.9975800295396594
57,Male,Married,High School,18255.3,Self-employed,0.068,702,8302.32,Car,10.36,36,8,33369.62,18978.33,1,0.5687307796732477,0.4547895679610853
68,Male,Single,Bachelor's,31568.91,Employed,0.049,773,24660.35,Debt consolidation,9.2,60,4,49050.93,30407.59,1,0.6199187252922626,0.7811593748406264
63,Female,Single,Master's,21825.7,Employed,0.234,566,11509.53,Debt consolidation,16.89,36,2,27667.2,2061.93,2,0.07452615371269951,0.5273384129718635
52,Male,Single,Master's,53047.0,Employed,0.302,668,11296.64,Debt consolidation,10.98,36,5,77792.26,10174.67,0,0.13079283208895076,0.21295530378720756
62,Female,Married,PhD,52901.64,Student,0.149,744,2815.75,Medical,8.37,36,9,78349.27,46846.37,2,0.5979171216272978,0.05322613816887341
48,Female,Married,Bachelor's,108445.38,Employed,0.45,678,12738.77,Home,12.06,60,5,102010.77,58503.21,2,0.5735003274654235,0.1174671525887041
48,Male,Single,High School,47989.57,Unemployed,0.186,697,10961.29,Debt consolidation,11.97,60,2,54042.92,26679.68,3,0.4936757673345556,0.22840983988812572
21,Male,Single,High School,71145.68,Employed,0.044,681,11966.28,Home,12.87,36,8,43681.27,33709.94,2,0.7717252726397379,0.1681940491678483
53,Male,Widowed,High School,32373.4,Employed,0.132,642,24444.75,Debt consolidation,13.66,36,3,50643.86,25710.65,2,0.5076755602752239,0.75508751011633
36,Female,Married,High School,62514.08,Employed,0.141,778,13832.08,Debt consolidation,11.25,36,5,85965.59,80063.33,4,0.9313415984232761,0.22126343377363947
27,Female,Married,Bachelor's,77611.98,Employed,0.154,593,20666.3,Debt consolidation,13.29,36,8,59876.43,27662.37,1,0.4619909704035461,0.26627719071205247
39,Female,Married,Bachelor's,19385.49,Employed,0.17,776,21125.33,Other,12.86,36,4,18109.81,8002.33,2,0.4418781864635796,1.0897496013771124
29,Female,Single,Other,15089.75,Employed,0.087,719,33323.09,Home,14.2,60,10,18013.8,14877.34,2,0.8258857098446747,2.2083261816796167
50,Male,Married,High School,92432.16,Self-employed,0.189,701,1352.92,Business,12.75,36,3,93001.36,70644.5,1,0.7596071713359891,0.014636896941497418
72,Male,Single,Other,18007.65,Retired,0.12,655,500.0,Vacation,11.7,36,5,21432.59,10921.82,1,0.5095893683404572,0.027765977237451858
64,Female,Married,PhD,36730.75,Employed,0.059,608,21355.13,Debt consolidation,12.52,60,9,56157.55,48286.3,0,0.8598362998385791,0.5813965138201643
40,Female,Married,Bachelor's,12953.56,Employed,0.289,785,15298.1,Medical,9.87,60,6,14888.25,7793.42,3,0.5234611186674055,1.180995803470243
44,Male,Single,High School,29760.62,Employed,0.167,686,21413.9,Other,12.81,60,3,19814.75,8044.59,2,0.4059899822102222,0.7195381010207449
74,Female,Married,Bachelor's,49369.7,Employed,0.068,741,9657.83,Debt consolidation,10.71,36,3,37899.83,6986.85,1,0.18435043112330582,0.19562261873173223
70,Male,Married,Bachelor's,76731.44,Employed,0.187,700,10561.95,Debt consolidation,9.69,36,7,75066.57,17727.11,2,0.23615185827725976,0.13764827038303987
54,Female,Single,Other,12674.19,Employed,0.041,664,23029.84,Business,14.42,60,7,23861.02,10523.27,1,0.44102347678347364,1.8170660215761323
31,Male,Married,Bachelor's,31856.38,Self-employed,0.13,672,19165.87,Debt consolidation,11.92,36,6,43184.87,19540.3,1,0.45248023208128213,0.6016336445007248
51,Male,Married,High School,35310.47,Employed,0.103,752,17632.97,Car,9.87,36,7,36135.7,9831.61,3,0.27207470728393257,0.4993694504774363
48,Male,Married,Bachelor's,54119.15,Employed,0.196,759,5054.99,Business,8.46,36,2,65337.03,16996.28,3,0.260132424139879,0.09340482989847401
72,Female,Married,Bachelor's,32814.3,Employed,0.112,762,6846.7,Car,14.52,36,3,44096.2,27801.99,2,0.630484939745375,0.20864988739665327
40,Female,Single,Other,9451.13,Employed,0.031,658,20906.32,Business,9.76,36,6,15225.22,3948.59,1,0.25934534936112585,2.212044485685839
24,Female,Divorced,Other,76093.1,Employed,0.277,700,17608.43,Debt consolidation,12.04,36,9,90729.68,8156.0,2,0.08989340643546853,0.2314063955864592
21,Female,Married,Bachelor's,61736.61,Employed,0.059,669,500.0,Other,11.13,36,4,47605.26,37041.93,0,0.7781058227599219,0.008098922179238542
45,Male,Single,High School,16111.18,Employed,0.029,738,11277.07,Car,12.87,60,7,17548.8,12765.95,2,0.7274542988694385,0.6999530760627092
21,Male,Divorced,Other,14447.44,Employed,0.192,704,18277.05,Other,12.21,36,5,23194.02,20893.34,1,0.9008071908190128,1.26507187432514
75,Male,Divorced,Master's,22338.31,Employed,0.239,688,12490.44,Debt consolidation,13.35,36,6,31899.57,20394.29,1,0.6393280536383407,0.5591488344462943
53,Male,Married,PhD,9861.47,Employed,0.208,612,25863.66,Debt consolidation,14.81,36,5,18574.76,1123.11,3,0.060464307479612116,2.622698238700721
53,Male,Single,Master's,66832.45,Retired,0.098,586,21400.59,Debt consolidation,17.17,36,4,99161.37,62151.03,2,0.6267665523378712,0.3202125614129065
48,Female,Married,High School,65587.54,Employed,0.264,630,25415.98,Education,12.78,60,7,93078.52,6508.41,1,0.06992386643019248,0.38751232322480766
33,Female,Married,High School,42748.81,Employed,0.295,759,8405.68,Debt consolidation,11.68,60,3,31880.94,2430.59,2,0.07623959644853634,0.1966295669984732
46,Male,Married,Other,11652.96,Employed,0.369,579,16781.97,Other,12.63,60,3,14167.62,9716.73,3,0.6858406704866449,1.4401465378753555
49,Female,Married,High School,77348.7,Employed,0.252,678,2916.58,Medical,11.1,36,5,107669.78,9855.76,1,0.09153691964449077,0.037706903929865664
67,Female,Married,Bachelor's,37306.66,Unemployed,0.225,710,15890.17,Medical,6.81,36,3,22588.78,11649.09,3,0.515702485924428,0.42593386810826805
30,Male,Single,Bachelor's,43834.93,Employed,0.093,702,26288.56,Debt consolidation,10.97,36,1,38928.58,9774.2,2,0.25108031168873873,0.5997171661959995
51,Female,Married,High School,16643.16,Retired,0.152,701,14790.33,Debt consolidation,14.25,36,3,21794.79,20174.74,4,0.9256680151540805,0.888673184659644
49,Female,Single,Master's,51885.51,Employed,0.155,819,1231.23,Car,10.35,36,6,80322.66,60917.08,3,0.7584046643873597,0.023729746513043815
57,Male,Married,High School,86236.56,Unemployed,0.126,675,2500.5,Vacation,12.97,60,4,49017.42,40109.76,2,0.8182756252777075,0.028995822653408252
63,Male,Married,Other,17005.08,Employed,0.337,674,500.0,Vacation,11.47,36,4,13598.86,4625.27,2,0.34012189257040665,0.02940297840410042
67,Male,Single,Bachelor's,29604.15,Employed,0.156,786,16552.31,Debt consolidation,8.91,36,5,29638.28,20395.76,0,0.6881559928578851,0.5591212718487104
73,Female,Married,High School,19205.41,Employed,0.269,713,14896.09,Education,8.19,60,4,22474.82,17445.31,5,0.776215782818283,0.7756194738878264
55,Female,Single,High School,30115.15,Employed,0.229,535,17347.3,Debt consolidation,22.51,36,5,47641.83,33933.84,2,0.712269868726705,0.5760323292429226
63,Other,Single,Bachelor's,43516.1,Employed,0.088,760,13410.59,Education,9.18,60,6,57632.62,29096.67,2,0.504864606190036,0.30817536497985804
35,Male,Divorced,High School,83794.11,Employed,0.262,698,26337.04,Vacation,14.18,60,2,67257.87,35704.16,2,0.5308547535031961,0.3143065783501967
65,Male,Married,Bachelor's,16931.33,Employed,0.193,568,23190.75,Debt consolidation,14.44,36,7,29645.96,4887.6,6,0.16486563430565246,1.3696945248837509
47,Male,Single,Master's,16379.89,Self-employed,0.174,684,3807.3,Medical,8.41,60,8,32547.68,22475.6,2,0.690543842141744,0.23243745837121008
24,Female,Widowed,Other,45814.64,Retired,0.168,761,21531.63,Home,13.07,60,2,51968.68,7163.1,3,0.13783494212283245,0.4699726986832157
75,Female,Single,High School,71496.02,Employed,0.033,693,2158.6,Education,14.23,36,3,98356.32,60613.85,2,0.6162679734256019,0.03019189040173145
33,Male,Single,Master's,145491.53,Employed,0.034,644,10273.01,Debt consolidation,15.62,60,7,184723.75,147964.29,1,0.801003065388181,0.07060899009035096
32,Female,Single,Master's,54307.88,Employed,0.192,604,3025.75,Home,11.8,36,4,77647.33,61832.29,3,0.79632216587486,0.055714750787546855
61,Female,Married,High School,17904.1,Employed,0.349,658,13895.2,Other,13.08,36,4,13460.91,4000.8,1,0.2972161614630809,0.7760903927033473
59,Male,Married,Bachelor's,24547.38,Unemployed,0.21,604,1634.49,Car,11.9,36,5,23361.94,18823.69,2,0.8057417320650596,0.06658511010136316
62,Female,Single,Master's,28795.56,Employed,0.395,762,13421.31,Education,12.8,36,2,16541.24,15658.88,3,0.946656961630446,0.4660895638077537
71,Female,Single,High School,6969.14,Employed,0.206,727,23939.96,Car,10.73,60,4,8478.63,496.35,4,0.05854129735582282,3.4351383384463503
30,Male,Single,Bachelor's,81068.95,Employed,0.33,666,500.0,Other,15.05,36,6,78581.65,44047.28,5,0.560528825750032,0.006167589440840174
38,Male,Single,PhD,130083.65,Employed,0.068,716,17704.25,Debt consolidation,8.24,60,5,120392.41,60830.89,2,0.5052718024333925,0.1360989640127718
66,Female,Married,Bachelor's,24903.64,Unemployed,0.245,592,19226.5,Other,13.68,36,4,25964.08,10279.87,2,0.39592660321490303,0.7720357345351925
63,Female,Single,Master's,43498.39,Self-employed,0.084,776,33826.74,Business,8.72,60,2,28534.88,17990.91,2,0.6304883707238299,0.7776549890697103
40,Female,Single,Bachelor's,43809.27,Unemployed,0.205,783,16907.73,Debt consolidation,11.93,60,6,28268.84,20801.8,1,0.7358561582293437,0.3859395511497909
23,Female,Married,Bachelor's,36213.94,Employed,0.112,615,16374.27,Debt consolidation,14.83,60,4,44616.6,17087.82,2,0.38299242882693885,0.4521537838743865
21,Male,Married,Master's,10286.78,Employed,0.284,687,17735.95,Vacation,10.58,36,5,14102.86,9883.18,2,0.7007926051878839,1.7241498311424954
71,Female,Married,High School,33888.28,Employed,0.085,614,500.0,Education,14.12,60,3,49282.19,37870.4,3,0.7684398765558105,0.014754363455448314
34,Male,Married,Bachelor's,17933.31,Employed,0.064,701,22332.52,Education,15.67,36,7,30383.92,24259.85,2,0.7984437162815068,1.2453094269825258
46,Male,Divorced,Bachelor's,62196.98,Retired,0.272,627,8950.95,Business,13.84,36,4,59236.47,42584.6,2,0.7188915882394747,0.14391293596570123
37,Male,Single,Bachelor's,120768.02,Employed,0.118,505,500.0,Debt consolidation,15.87,36,1,89802.74,52366.0,4,0.5831225194242402,0.004140168895705999
27,Female,Married,High School,59219.91,Employed,0.331,707,500.0,Debt consolidation,13.56,60,2,43682.6,35559.15,1,0.8140346499521549,0.008443106380945191
73,Male,Single,Bachelor's,46865.5,Self-employed,0.055,616,23341.58,Car,9.8,36,6,75594.06,20231.75,1,0.26763676934404634,0.49805464574153696
51,Female,Single,High School,57877.32,Retired,0.213,649,12068.12,Car,15.09,36,4,44827.46,5228.16,3,0.11662851296950574,0.208512073468502
52,Male,Single,High School,18016.2,Employed,0.116,732,500.0,Debt consolidation,11.54,36,4,28928.42,13739.9,3,0.47496199239363923,0.027752800257545986
63,Female,Single,High School,28829.36,Employed,0.091,678,21213.95,Business,13.85,60,6,30047.31,27624.37,2,0.9193624986729261,0.7358453326747455
35,Female,Single,Master's,48175.52,Self-employed,0.098,550,15755.62,Car,16.08,60,3,69124.69,39874.58,1,0.5768500372298234,0.32704618445218653
32,Female,Single,Bachelor's,29111.34,Employed,0.324,656,30132.52,Other,12.49,36,2,34178.07,24109.21,3,0.7053999830885711,1.035078426482601
45,Male,Widowed,Other,79312.59,Employed,0.235,719,27032.08,Car,12.4,36,3,55366.6,7796.19,3,0.14081034414249746,0.3408296211232038
63,Female,Married,Master's,38547.62,Employed,0.083,751,3991.96,Home,12.58,60,3,35515.78,14901.59,1,0.4195765938408223,0.10355918212330618
46,Female,Single,PhD,49272.34,Self-employed,0.346,673,20168.57,Other,16.22,36,4,36483.11,30669.31,5,0.8406440678988167,0.40932843863311547
44,Other,Married,Bachelor's,90330.46,Employed,0.177,677,18624.01,Debt consolidation,13.56,36,5,120365.57,35734.84,1,0.2968858951941157,0.20617641048213411
55,Male,Married,High School,48775.43,Employed,0.138,664,20018.78,Other,12.49,36,4,73566.24,14481.66,3,0.19685197992992437,0.41042754518002195
37,Female,Married,High School,32082.24,Employed,0.255,649,8205.34,Home,11.31,60,4,36896.69,5300.51,3,0.14365814386060105,0.255759572897653
28,Male,Divorced,Master's,25434.1,Self-employed,0.289,666,21511.3,Debt consolidation,11.42,36,3,38012.11,34629.89,2,0.9110225662295516,0.8457661171419473
52,Male,Single,High School,25632.48,Employed,0.153,661,10976.02,Other,8.55,36,6,27344.16,9888.54,0,0.36163261186300844,0.4282074929932648
44,Female,Married,Bachelor's,63032.83,Employed,0.116,847,33550.68,Car,7.06,36,2,43604.96,35846.14,3,0.8220656549163214,0.5322731027624811
48,Female,Single,Bachelor's,42545.33,Employed,0.192,714,13911.02,Business,12.97,36,4,42625.32,19920.23,2,0.46733326576785816,0.32696937595736125
54,Female,Single,Other,27511.9,Employed,0.045,606,5358.16,Education,13.83,36,6,32333.5,23767.45,2,0.7350719841650301,0.1947579047612124
56,Female,Single,Master's,101734.78,Employed,0.217,605,21379.68,Car,13.66,36,5,108701.72,84996.5,1,0.7819241498662579,0.21015114005259558
24,Male,Single,Bachelor's,9556.66,Employed,0.337,792,6671.76,Other,10.34,60,6,19729.46,1540.62,0,0.07808728672756375,0.6981267513964085
64,Female,Single,Bachelor's,28604.21,Employed,0.122,754,26982.55,Debt consolidation,14.31,36,9,34913.53,11475.73,2,0.3286900522519493,0.9433069467746181
60,Male,Divorced,Bachelor's,22970.61,Student,0.468,601,16914.05,Education,16.14,36,7,23940.68,3499.0,3,0.14615290793745206,0.7363343855474451
40,Female,Single,Master's,82862.39,Employed,0.069,752,26490.02,Debt consolidation,13.12,36,2,113221.19,46679.17,2,0.4122829834238626,0.3196868929317631
25,Male,Married,High School,29799.32,Self-employed,0.084,726,14602.09,Other,12.7,36,8,49834.03,28220.47,1,0.5662891401718866,0.49001420166634674
71,Female,Married,High School,67245.62,Employed,0.187,676,20610.43,Debt consolidation,10.21,60,9,64180.58,58715.15,2,0.9148429322390044,0.306494757576776
48,Male,Single,High School,14286.42,Self-employed,0.173,804,11854.3,Home,7.92,36,6,26960.58,19049.56,1,0.7065708527042074,0.8297600098555131
61,Female,Single,High School,11560.84,Self-employed,0.237,784,3964.36,Business,9.81,60,3,19554.32,14385.41,2,0.7356640374096364,0.3429127987239682
43,Female,Married,Bachelor's,19462.88,Employed,0.119,593,4715.76,Medical,13.68,36,6,24691.86,21268.26,1,0.8613470188151074,0.24229507657653954
44,Female,Single,Bachelor's,23983.29,Unemployed,0.022,731,18724.95,Home,8.54,36,1,34804.68,14086.78,1,0.40473809843963515,0.7807498470810301
30,Male,Single,High School,51263.07,Employed,0.458,641,8489.17,Education,13.49,36,3,60191.65,43628.11,3,0.7248199708763591,0.16560010939649147
51,Male,Single,Master's,43884.9,Employed,0.051,799,15965.18,Debt consolidation,9.63,36,10,42421.98,15908.0,1,0.3749942836237252,0.3637966589874877
33,Male,Divorced,High School,34869.19,Employed,0.115,714,18807.34,Car,12.92,60,5,51900.43,7502.31,0,0.14455198155391005,0.5393684223809041
50,Female,Married,Bachelor's,10371.64,Employed,0.095,691,35461.58,Other,12.1,36,4,18681.27,7752.36,4,0.4149803519782113,3.419090905584845
24,Male,Single,High School,180146.37,Retired,0.033,539,13365.06,Education,14.13,36,4,128060.38,41827.87,5,0.32662615869170464,0.07419000449467841
58,Male,Single,High School,67528.39,Unemployed,0.052,634,10891.5,Education,16.47,36,7,48568.95,28465.27,3,0.5860795837669952,0.16128771913561096
70,Male,Single,Bachelor's,45281.02,Employed,0.146,664,22955.78,Business,11.21,36,4,45331.99,8600.28,0,0.1897176806048003,0.5069625198372298
69,Female,Married,Bachelor's,26083.36,Employed,0.303,639,18310.67,Debt consolidation,12.6,36,3,26037.43,19447.66,2,0.7469116575637457,0.7020057998662748
70,Female,Single,High School,102885.46,Self-employed,0.455,632,17644.02,Home,12.77,36,6,129319.3,114360.61,4,0.8843274747079516,0.17149187066860563
64,Female,Divorced,Bachelor's,47635.06,Employed,0.089,715,9427.7,Debt consolidation,10.97,36,7,36623.88,5256.25,1,0.1435197472250346,0.1979151490519798
31,Female,Single,High School,42230.98,Employed,0.03,674,17871.84,Debt consolidation,13.83,60,2,44557.81,24958.8,1,0.5601442261188331,0.4231926419893642
72,Female,Single,High School,88776.96,Retired,0.281,733,7071.69,Other,12.9,36,7,109390.04,58863.14,0,0.5381032861858356,0.07965681636316449
52,Female,Married,Other,37166.26,Employed,0.115,646,27242.47,Debt consolidation,13.32,36,6,37796.9,13752.01,2,0.363839627059362,0.7329892757570979
48,Male,Widowed,Master's,17413.75,Employed,0.216,749,17287.58,Business,12.95,60,5,16539.42,2297.26,0,0.13889604351301318,0.9927545761251886
75,Male,Single,High School,42690.2,Unemployed,0.075,808,17255.45,Debt consolidation,5.95,60,2,61474.58,42517.4,0,0.6916257093582421,0.4042016668931043
63,Male,Single,Other,17008.32,Employed,0.095,619,16574.85,Debt consolidation,13.45,60,4,25813.96,9709.98,2,0.3761522834931177,0.9745142377377659
37,Male,Married,Bachelor's,47868.12,Employed,0.282,570,12420.21,Home,15.66,36,1,57665.85,16832.29,3,0.29189355571798564,0.25946726130042286
63,Male,Widowed,High School,57115.68,Employed,0.116,729,28479.57,Debt consolidation,9.13,36,7,76486.16,67251.48,0,0.8792633856896462,0.49862962324881716
58,Female,Single,Bachelor's,27614.58,Employed,0.226,697,9788.29,Other,14.64,36,2,19194.8,15656.45,1,0.8156610123575135,0.3544609405611094
48,Male,Married,High School,24894.13,Employed,0.085,710,19218.49,Other,10.06,36,4,39719.83,32956.56,2,0.8297256055728334,0.7720089033037106
31,Female,Married,High School,60669.72,Retired,0.046,643,30372.68,Debt consolidation,13.83,36,1,45289.87,23770.06,1,0.524842751811829,0.5006233752191374
64,Male,Married,High School,21757.71,Employed,0.298,593,40703.64,Debt consolidation,14.05,36,3,21932.04,20316.01,4,0.9263164758043483,1.870768568934874
54,Male,Married,Bachelor's,42708.96,Employed,0.064,710,6044.69,Other,6.3,36,4,31464.07,16353.85,0,0.519762700756768,0.14153212815296837
37,Female,Married,High School,30813.55,Student,0.081,609,18149.5,Debt consolidation,15.74,36,6,35707.1,30164.31,2,0.8447706478543484,0.5890103542110533
22,Female,Married,Master's,37226.21,Self-employed,0.119,608,19345.96,Debt consolidation,12.5,36,7,44640.1,14307.97,0,0.32051832321164153,0.5196865326875876
70,Female,Married,Bachelor's,62303.54,Employed,0.21,555,29735.68,Medical,13.76,60,5,91778.0,51048.68,0,0.5562191374839286,0.4772711149318321
72,Male,Married,Master's,94007.53,Employed,0.109,650,19045.85,Car,11.63,36,5,139708.9,127173.71,3,0.9102763675041462,0.20259919604312546
67,Female,Widowed,Other,24028.4,Employed,0.08,671,18084.79,Home,14.01,36,6,27158.17,20290.9,5,0.7471379699000339,0.7526422899568843
27,Female,Married,Bachelor's,31657.93,Employed,0.26,750,20458.13,Debt consolidation,11.8,36,6,31432.5,3972.41,2,0.12637906625308198,0.6462245004648125
22,Female,Married,High School,66977.18,Employed,0.226,670,14972.33,Business,6.62,36,4,74965.85,30787.12,2,0.4106819305056902,0.2235437502743472
40,Male,Married,Bachelor's,16989.77,Student,0.077,667,10709.85,Home,11.77,60,12,33734.18,9794.27,1,0.2903366852254894,0.630370511195855
47,Male,Widowed,Master's,28307.8,Employed,0.178,759,30672.52,Debt consolidation,12.05,60,2,30744.37,6711.59,0,0.21830305841362177,1.0835359865478773
60,Female,Married,Bachelor's,70775.94,Employed,0.129,670,19191.15,Debt consolidation,13.29,60,5,105900.77,37834.53,0,0.3572639745678903,0.2711535869392904
53,Male,Married,Bachelor's,52242.93,Self-employed,0.207,798,21884.48,Debt consolidation,8.19,36,3,58520.87,11237.46,1,0.19202482806561144,0.41889840405199325
75,Male,Married,Master's,29674.95,Employed,0.237,654,7233.86,Other,8.75,36,7,36758.49,15177.2,2,0.41288964807858,0.24376991368140466
25,Female,Single,Other,72583.89,Employed,0.299,685,12175.4,Debt consolidation,11.29,36,8,53853.32,19667.0,3,0.36519568338590824,0.16774245634947368
63,Female,Divorced,Master's,29888.67,Employed,0.262,656,4070.56,Debt consolidation,9.32,60,7,49967.61,27283.53,2,0.5460243145509661,0.13619073715893013
